letter,part,const,what,how,datasheet_nominal_mm,measured_mm,note
A,bourns_3590s,BODY_DIA,body diameter,outside jaws across the round body,22.22,,
B,bourns_3590s,BODY_LEN,"body length, rear face to bushing shoulder","outside jaws, terminals excluded",18.59,,
C,bourns_3590s,BUSHING_DIA,bushing thread major diameter,outside jaws on the 3/8-32 thread,9.525,,
D,bourns_3590s,BUSHING_LEN,"bushing length, shoulder to end",depth rod from shoulder,7.94,,
E,bourns_3590s,SHAFT_DIA,shaft diameter,"outside jaws, away from the flat if any",6.34,,
F,bourns_3590s,SHAFT_LEN,shaft length beyond bushing end,"depth rod, bushing end to shaft tip",,,
G,bourns_3590s,TERMINAL_REACH,"solder lugs, rear face to lug tip","outside jaws, one lug",,,
H,bourns_3590s,NUT_AF,hex nut across flats,"outside jaws, flat to flat",,,
I,bourns_3590s,NUT_THICK,hex nut thickness,outside jaws,,,
J,bourns_3590s,WASHER_OD,lock washer outside diameter,"outside jaws, tab to tab if the tabs are widest",,,
K,bourns_3590s,WASHER_THICK,lock washer thickness,"outside jaws, on the ring not a tab",,,
L,bourns_3590s,AR_PIN_OFFSET,"anti-rotation pin, centre to shaft centre; 0 if none","outside jaws pin edge to bushing edge, then add radii",,,
M,bourns_turns_dial,DIAL_OD,dial skirt outside diameter,outside jaws across the grey skirt,,,
N,bourns_turns_dial,DIAL_HEIGHT,"overall height, panel face to knob top","outside jaws, dial standing on a flat",,,
O,bourns_turns_dial,KNOB_DIA,black knob diameter,outside jaws,,,
P,bourns_turns_dial,BORE,shaft bore,"inside jaws, or trust E and note it",6.35,,
Q,bourns_turns_dial,LEVER_REACH,"lock lever, skirt edge to lever tip","outside jaws, lever closed",,,
R,bourns_turns_dial,REAR_RECESS_DIA,rear counterbore that clears the nut,inside jaws from the back,,,
S,bourns_turns_dial,REAR_RECESS_DEPTH,rear counterbore depth,depth rod from the skirt face,,,
