letter,part,const,what,how,datasheet_nominal_mm,measured_mm,note
m2x4-D,heatset_insert_m2x4,OD,M2 × 4 × 3.5 — diameter over the knurl,outside jaws on the widest band; rotate the insert and take the largest reading,3.5,,
m2x4-L,heatset_insert_m2x4,LENGTH,M2 × 4 × 3.5 — overall length,"outside jaws end to end, square to the axis",4,,
m2x6-D,heatset_insert_m2x6,OD,M2 × 6 × 3.5 — diameter over the knurl,outside jaws on the widest band; rotate the insert and take the largest reading,3.5,,
m2x6-L,heatset_insert_m2x6,LENGTH,M2 × 6 × 3.5 — overall length,"outside jaws end to end, square to the axis",6,,
m2x8-D,heatset_insert_m2x8,OD,M2 × 8 × 3.5 — diameter over the knurl,outside jaws on the widest band; rotate the insert and take the largest reading,3.5,,
m2x8-L,heatset_insert_m2x8,LENGTH,M2 × 8 × 3.5 — overall length,"outside jaws end to end, square to the axis",8,,
m2x10-D,heatset_insert_m2x10,OD,M2 × 10 × 3.5 — diameter over the knurl,outside jaws on the widest band; rotate the insert and take the largest reading,3.5,,
m2x10-L,heatset_insert_m2x10,LENGTH,M2 × 10 × 3.5 — overall length,"outside jaws end to end, square to the axis",10,,
m3x4-D,heatset_insert_m3x4,OD,M3 × 4 × 5 — diameter over the knurl,outside jaws on the widest band; rotate the insert and take the largest reading,5,,
m3x4-L,heatset_insert_m3x4,LENGTH,M3 × 4 × 5 — overall length,"outside jaws end to end, square to the axis",4,,
m3x6-D,heatset_insert_m3x6,OD,M3 × 6 × 5 — diameter over the knurl,outside jaws on the widest band; rotate the insert and take the largest reading,5,5.461,"already in the package, 2026-09-17"
m3x6-L,heatset_insert_m3x6,LENGTH,M3 × 6 × 5 — overall length,"outside jaws end to end, square to the axis",6,6.07,"already in the package, 2026-09-17"
m3x8-D,heatset_insert_m3x8,OD,M3 × 8 × 5 — diameter over the knurl,outside jaws on the widest band; rotate the insert and take the largest reading,5,,
m3x8-L,heatset_insert_m3x8,LENGTH,M3 × 8 × 5 — overall length,"outside jaws end to end, square to the axis",8,,
m3x10-D,heatset_insert_m3x10,OD,M3 × 10 × 5 — diameter over the knurl,outside jaws on the widest band; rotate the insert and take the largest reading,5,,
m3x10-L,heatset_insert_m3x10,LENGTH,M3 × 10 × 5 — overall length,"outside jaws end to end, square to the axis",10,,
m4x4-D,heatset_insert_m4x4,OD,M4 × 4 × 6 — diameter over the knurl,outside jaws on the widest band; rotate the insert and take the largest reading,6,,
m4x4-L,heatset_insert_m4x4,LENGTH,M4 × 4 × 6 — overall length,"outside jaws end to end, square to the axis",4,,
m4x6-D,heatset_insert_m4x6,OD,M4 × 6 × 6 — diameter over the knurl,outside jaws on the widest band; rotate the insert and take the largest reading,6,,
m4x6-L,heatset_insert_m4x6,LENGTH,M4 × 6 × 6 — overall length,"outside jaws end to end, square to the axis",6,,
m4x8-D,heatset_insert_m4x8,OD,M4 × 8 × 6 — diameter over the knurl,outside jaws on the widest band; rotate the insert and take the largest reading,6,,
m4x8-L,heatset_insert_m4x8,LENGTH,M4 × 8 × 6 — overall length,"outside jaws end to end, square to the axis",8,,
m4x10-D,heatset_insert_m4x10,OD,M4 × 10 × 6 — diameter over the knurl,outside jaws on the widest band; rotate the insert and take the largest reading,6,,
m4x10-L,heatset_insert_m4x10,LENGTH,M4 × 10 × 6 — overall length,"outside jaws end to end, square to the axis",10,,
m5x6-D,heatset_insert_m5x6,OD,M5 × 6 × 7 — diameter over the knurl,outside jaws on the widest band; rotate the insert and take the largest reading,7,,
m5x6-L,heatset_insert_m5x6,LENGTH,M5 × 6 × 7 — overall length,"outside jaws end to end, square to the axis",6,,
m5x8-D,heatset_insert_m5x8,OD,M5 × 8 × 7 — diameter over the knurl,outside jaws on the widest band; rotate the insert and take the largest reading,7,,
m5x8-L,heatset_insert_m5x8,LENGTH,M5 × 8 × 7 — overall length,"outside jaws end to end, square to the axis",8,,
m5x10-D,heatset_insert_m5x10,OD,M5 × 10 × 7 — diameter over the knurl,outside jaws on the widest band; rotate the insert and take the largest reading,7,,
m5x10-L,heatset_insert_m5x10,LENGTH,M5 × 10 × 7 — overall length,"outside jaws end to end, square to the axis",10,,
